File,IPC,Accuracy,MPKI
results_10M/462.libquantum-1343B.champsimtrace.xz-bimodal-no-no-no-no-lru-1core.txt,0.54807,98.4704%,2.7658
results_10M/462.libquantum-1343B.champsimtrace.xz-bimodal-no-no-no-no-mru-1core.txt,0.552211,98.4704%,2.7658
results_10M/462.libquantum-1343B.champsimtrace.xz-bimodal-no-no-no-no-random-1core.txt,0.536287,98.4704%,2.7658
results_10M/462.libquantum-1343B.champsimtrace.xz-bimodal-no-no-no-no-ship-1core.txt,0.572614,98.4704%,2.7658
results_10M/462.libquantum-1343B.champsimtrace.xz-bimodal-no-no-no-no-srrip-1core.txt,0.545555,98.4704%,2.7658
results_10M/462.libquantum-1343B.champsimtrace.xz-gshare-no-no-no-no-drrip-1core.txt,0.551871,98.4902%,2.7299
results_10M/462.libquantum-1343B.champsimtrace.xz-gshare-no-no-no-no-lru-1core.txt,0.549213,98.4902%,2.7299
results_10M/462.libquantum-1343B.champsimtrace.xz-gshare-no-no-no-no-mru-1core.txt,0.553353,98.4902%,2.7299
results_10M/462.libquantum-1343B.champsimtrace.xz-gshare-no-no-no-no-random-1core.txt,0.537197,98.4902%,2.7299
results_10M/462.libquantum-1343B.champsimtrace.xz-gshare-no-no-no-no-ship-1core.txt,0.571901,98.4902%,2.7299
results_10M/462.libquantum-1343B.champsimtrace.xz-gshare-no-no-no-no-srrip-1core.txt,0.546672,98.4902%,2.7299
results_10M/462.libquantum-1343B.champsimtrace.xz-hashed_perceptron-no-no-no-no-drrip-1core.txt,0.593279,99.9793%,0.0375
results_10M/462.libquantum-1343B.champsimtrace.xz-hashed_perceptron-no-no-no-no-lru-1core.txt,0.604261,99.9793%,0.0375
results_10M/462.libquantum-1343B.champsimtrace.xz-hashed_perceptron-no-no-no-no-mru-1core.txt,0.60728,99.9793%,0.0375
results_10M/462.libquantum-1343B.champsimtrace.xz-hashed_perceptron-no-no-no-no-random-1core.txt,0.57348,99.9793%,0.0375
